Title,Organization,Skills,Difficulty,Type,Duration,Ratings,reviews,enrolled,url,alive
Excel Basics for Data Analysis,IBM,"Microsoft Excel, Spreadsheet Software, Data Analysis, Data Science",Beginner,Course,1 - 3 Months,4.8,6.9K,"57,089",https://www.coursera.org/learn/excel-basics-data-analysis-ibm,True
Introduction to Calculus,The University of Sydney,"Algebra, Calculus, Mathematical Theory & Analysis, Mathematics, Problem Solving, Computational Logic, Critical Thinking, Differential Equations, Plot (Graphics), Linear Algebra",Intermediate,Course,1 - 3 Months,4.8,3.5K,"7,594",https://www.coursera.org/learn/introduction-to-calculus,True
MATLAB Programming for Engineers and Scientists,Vanderbilt University,"Computer Programming, Other Programming Languages, Matlab, Data Analysis, Algorithms, Theoretical Computer Science, Data Visualization, Mathematics, Plot (Graphics), Visualization (Computer Graphics), Computer Graphics, Statistical Machine Learning, General Statistics, Problem Solving, Programming Principles",Beginner,Specialization,3 - 6 Months,4.8,18K,"79,656",https://www.coursera.org/specializations/matlab-programming-engineers-scientists,True
Medical Terminology,Rice University,"Human Learning, Communication",Beginner,Specialization,3 - 6 Months,4.9,423,"11,968",https://www.coursera.org/specializations/medicalterminology,True
System Administration and IT Infrastructure Services,Google,"Cloud Computing, Leadership and Management",Beginner,Course,1 - 3 Months,4.7,24K,"389,938",https://www.coursera.org/learn/system-administration-it-infrastructure-services,True
Capstone: Applying Project Management in the Real World,Google,"Communication, Leadership and Management, Planning, Problem Solving, Project Management",Beginner,Course,1 - 4 Weeks,4.8,7.2K,,https://www.coursera.org/learn/applying-project-management,True
Private Equity and Venture Capital,Università Bocconi,"Business Analysis, Entrepreneurial Finance, Finance, Financial Management, Investment Management, Mergers & Acquisitions, Entrepreneurship, Decision Making, Financial Analysis, Strategy",Mixed,Course,1 - 3 Months,4.8,7.9K,"237,964",https://www.coursera.org/learn/private-equity,True
Management Consulting,Emory University,"Leadership and Management, Business Communication, Critical Thinking, Problem Solving, Decision Making, Strategy, Business Development, Business Intelligence, Communication, Market Research, Data Analysis, People Analysis, People Management, Process Analysis, Project Management, Strategy and Operations, Data Management",Beginner,Specialization,3 - 6 Months,4.8,619,"9,868",https://www.coursera.org/specializations/managementconsulting,True
Share Data Through the Art of Visualization,Google,"Business Communication, Data Analysis, Data Visualization, Data Visualization Software, Tableau Software",Beginner,Course,1 - 4 Weeks,4.6,8K,"430,820",https://www.coursera.org/learn/visualize-data,True
Financial Engineering and Risk Management,Columbia University,"Finance, Risk Management, Probability & Statistics, Leadership and Management, Mathematics, Investment Management, Securities Sales, Securities Trading, Computer Programming",Intermediate,Specialization,3 - 6 Months,4.5,217,"33,709",https://www.coursera.org/specializations/financialengineering,True
Project Management,University of Colorado Boulder,"Leadership and Management, Project Management, Planning, Strategy and Operations, Product Management, Agile Software Development, People Management, Strategy, Scrum (Software Development), Performance Management, Risk Management, Business Process Management, Business Communication, Decision Making, Adaptability, Organizational Development, Data Analysis, Estimation, Budget Management",Beginner,Specialization,1 - 3 Months,4.8,506,"11,334",https://www.coursera.org/specializations/meem-project-management,True
Management of Fashion and Luxury Companies,Università Bocconi,"Brand Management, Leadership and Management, Marketing, Retail Sales, Strategy, Communication, Digital Marketing, E-Commerce, Marketing Management, Retail Store Operations",Mixed,Course,1 - 3 Months,4.7,5.6K,"256,877",https://www.coursera.org/learn/mafash,True
Automate Cybersecurity Tasks with Python,Google,"Python Programming, Algorithms, Computer Programming",Beginner,Course,1 - 4 Weeks,4.8,918,"68,630",https://www.coursera.org/learn/automate-cybersecurity-tasks-with-python,True
Build Wireframes and Low-Fidelity Prototypes,Google,"Product Design, User Experience, User Research",Beginner,Course,1 - 4 Weeks,4.9,7.9K,"58,050",https://www.coursera.org/learn/wireframes-low-fidelity-prototypes,True
Databases and SQL for Data Science with Python,IBM,"Python Programming, Computer Programming, Data Analysis, Data Management, Data Structures, Database Administration, Database Application, Database Theory, Databases, SQL, Cloud Computing, IBM Cloud",Beginner,Course,1 - 3 Months,4.6,19K,"143,648",https://www.coursera.org/learn/sql-data-science,True
The Business of Music Production,Berklee,"Creativity, Critical Thinking, Regulations and Compliance, Problem Solving, Process Analysis, Writing, Decision Making, Business Analysis, Deep Learning, Strategy, Leadership and Management",Beginner,Specialization,3 - 6 Months,4.8,5K,"9,178",https://www.coursera.org/specializations/business-music-production,True
Java Programming and Software Engineering Fundamentals,Duke University,"Computer Programming, Java Programming, Programming Principles, Algorithms, Problem Solving, Data Structures, Software Engineering, Computer Programming Tools, Critical Thinking, Computational Thinking, Data Analysis, Javascript, Software Testing, Front-End Web Development, HTML and CSS, Web Design, Web Development, Web Development Tools, Computer Graphic Techniques, Software Architecture, Data Model, Cryptography, Data Management, Small Data",Beginner,Specialization,3 - 6 Months,4.6,22K,"3,516",https://www.coursera.org/specializations/java-programming,True
Google Professional Workspace Administrator,Google Cloud,"Leadership and Management, Account Management, Google Cloud Platform, Cloud Management, System Security, Cloud Applications, Cloud Platforms, Security Engineering, Operations Management, Software Security, Network Security, Cloud Computing, Data Management, Security Strategy, Cloud Infrastructure, Organizational Development, Other Cloud Platforms and Tools, Change Management, Cloud-Based Integration, Database Administration, Collaboration, Software As A Service, Strategy and Operations, Computer Security Incident Management, Planning, Strategy, Security Software, Project Management, Accounting",Beginner,Professional Certificate,1 - 4 Weeks,4.7,2.9K,"18,033",https://www.coursera.org/professional-certificates/g-suite-administration,True
Scrum Master Certification,LearnQuest,"Agile Software Development, Scrum (Software Development), Project Management, Software Engineering, Continuous Delivery, Product Development, Continuous Integration, Leadership and Management, Product Management, Collaboration, Software Testing, Strategy, Application Development, DevOps, Product Lifecycle, Planning, Software Engineering Tools, System Software, Devops Tools, Performance Management, Risk Management",Beginner,Specialization,3 - 6 Months,4.7,2.6K,"52,569",https://www.coursera.org/specializations/learnquest-certified-scrum-master,True
The Strategy of Content Marketing,"University of California, Davis","Digital Marketing, Marketing, Writing, Strategy",Intermediate,Course,1 - 3 Months,4.5,4.3K,"484,753",https://www.coursera.org/learn/content-marketing,True
Introduction to Front-End Development,Meta,"HTML and CSS, React (web framework), Web Development, Front-End Web Development, Web Design, Web Development Tools",Beginner,Course,1 - 4 Weeks,4.8,9.5K,"140,407",https://www.coursera.org/learn/introduction-to-front-end-development,True
Six Sigma Black Belt,University System of Georgia,"Leadership and Management, Organizational Development, Strategy and Operations, General Statistics, Probability & Statistics, Operations Management, Process Analysis, Statistical Analysis, Business Analysis, Data Analysis, Project Management, Business Process Management, Performance Management, Basic Descriptive Statistics, Entrepreneurship, Statistical Tests, Problem Solving, Probability Distribution, Statistical Visualization, Strategy, Decision Making, Leadership Development, Planning, Correlation And Dependence, People Management, Communication, Customer Analysis, Marketing, Sales, Conflict Management, Customer Success, Experiment",Intermediate,Specialization,3 - 6 Months,4.6,475,"13,523",https://www.coursera.org/specializations/six-sigma-black-belt,True
